"Relative.Efficacy","Deaths","Weeks","R.eff","Vaccine"
0.1,23394.7565775223,3,0.9,"CoronaVac"
0.2,23067.3275291064,3,0.9,"CoronaVac"
0.3,22739.3756054774,3,0.9,"CoronaVac"
0.4,22410.1958363561,3,0.9,"CoronaVac"
0.5,22082.5102339369,3,0.9,"CoronaVac"
0.6,21753.8272444437,3,0.9,"CoronaVac"
0.7,21426.215300015,3,0.9,"CoronaVac"
0.8,21097.6621024188,3,0.9,"CoronaVac"
0.9,20768.815506881,3,0.9,"CoronaVac"
0.1,30777.5658287976,3,1,"CoronaVac"
0.2,30282.9021288833,3,1,"CoronaVac"
0.3,29793.7584178476,3,1,"CoronaVac"
0.4,29303.719655517,3,1,"CoronaVac"
0.5,28813.3871641365,3,1,"CoronaVac"
0.6,28321.6921620519,3,1,"CoronaVac"
0.7,27831.3058060934,3,1,"CoronaVac"
0.8,27342.8651109896,3,1,"CoronaVac"
0.9,26849.9990059586,3,1,"CoronaVac"
0.1,40055.8467168714,3,1.1,"CoronaVac"
0.2,39363.0952730551,3,1.1,"CoronaVac"
0.3,38665.4303935261,3,1.1,"CoronaVac"
0.4,37969.7306749315,3,1.1,"CoronaVac"
0.5,37275.2050445385,3,1.1,"CoronaVac"
0.6,36580.4845618237,3,1.1,"CoronaVac"
0.7,35886.1329957584,3,1.1,"CoronaVac"
0.8,35187.6177857422,3,1.1,"CoronaVac"
0.9,34493.2761232861,3,1.1,"CoronaVac"
0.1,50424.9387652389,3,1.2,"CoronaVac"
0.2,49508.2787589064,3,1.2,"CoronaVac"
0.3,48589.1267185717,3,1.2,"CoronaVac"
0.4,47671.3842075995,3,1.2,"CoronaVac"
0.5,46747.8915144415,3,1.2,"CoronaVac"
0.6,45832.4314832876,3,1.2,"CoronaVac"
0.7,44912.8482036688,3,1.2,"CoronaVac"
0.8,43993.6169010523,3,1.2,"CoronaVac"
0.9,43074.6981488291,3,1.2,"CoronaVac"
0.1,61157.9787325089,3,1.3,"CoronaVac"
0.2,60020.2408664056,3,1.3,"CoronaVac"
0.3,58881.1292430426,3,1.3,"CoronaVac"
0.4,57743.9107058384,3,1.3,"CoronaVac"
0.5,56604.2596050237,3,1.3,"CoronaVac"
0.6,55465.1344054775,3,1.3,"CoronaVac"
0.7,54323.3923700286,3,1.3,"CoronaVac"
0.8,53184.9676600324,3,1.3,"CoronaVac"
0.9,52046.0180771287,3,1.3,"CoronaVac"
0.1,71806.1545688565,3,1.4,"CoronaVac"
0.2,70461.6780148329,3,1.4,"CoronaVac"
0.3,69121.0866538726,3,1.4,"CoronaVac"
0.4,67777.866892255,3,1.4,"CoronaVac"
0.5,66435.0614140215,3,1.4,"CoronaVac"
0.6,65092.9084388704,3,1.4,"CoronaVac"
0.7,63750.0938101298,3,1.4,"CoronaVac"
0.8,62407.0764984995,3,1.4,"CoronaVac"
0.9,61063.7631113541,3,1.4,"CoronaVac"
0.1,24703.0226144027,7,0.9,"CoronaVac"
0.2,24058.8634720712,7,0.9,"CoronaVac"
0.3,23414.4929014627,7,0.9,"CoronaVac"
0.4,22769.8929314912,7,0.9,"CoronaVac"
0.5,22125.1902133969,7,0.9,"CoronaVac"
0.6,21480.5949977247,7,0.9,"CoronaVac"
0.7,20834.8027563462,7,0.9,"CoronaVac"
0.8,20191.8176880635,7,0.9,"CoronaVac"
0.9,19545.6785077799,7,0.9,"CoronaVac"
0.1,32761.879993816,7,1,"CoronaVac"
0.2,31796.0999453773,7,1,"CoronaVac"
0.3,30830.687427109,7,1,"CoronaVac"
0.4,29863.2266555945,7,1,"CoronaVac"
0.5,28896.0680142901,7,1,"CoronaVac"
0.6,27929.2057045269,7,1,"CoronaVac"
0.7,26961.4054732984,7,1,"CoronaVac"
0.8,25992.6683668566,7,1,"CoronaVac"
0.9,25024.7288713669,7,1,"CoronaVac"
0.1,42887.1040997633,7,1.1,"CoronaVac"
0.2,41508.383575789,7,1.1,"CoronaVac"
0.3,40129.3896572884,7,1.1,"CoronaVac"
0.4,38751.6731410975,7,1.1,"CoronaVac"
0.5,37369.7653759396,7,1.1,"CoronaVac"
0.6,35988.327078509,7,1.1,"CoronaVac"
0.7,34610.0979489101,7,1.1,"CoronaVac"
0.8,33229.4843812021,7,1.1,"CoronaVac"
0.9,31848.2727355135,7,1.1,"CoronaVac"
0.1,54205.1714939417,7,1.2,"CoronaVac"
0.2,52352.4901107212,7,1.2,"CoronaVac"
0.3,50495.7349297185,7,1.2,"CoronaVac"
0.4,48637.2180874661,7,1.2,"CoronaVac"
0.5,46779.8709290525,7,1.2,"CoronaVac"
0.6,44923.3075471974,7,1.2,"CoronaVac"
0.7,43064.1549934073,7,1.2,"CoronaVac"
0.8,41207.919162118,7,1.2,"CoronaVac"
0.9,39346.0658955317,7,1.2,"CoronaVac"
0.1,65979.1669847449,7,1.3,"CoronaVac"
0.2,63605.6823384826,7,1.3,"CoronaVac"
0.3,61230.9616424305,7,1.3,"CoronaVac"
0.4,58860.8961230375,7,1.3,"CoronaVac"
0.5,56483.93748739,7,1.3,"CoronaVac"
0.6,54104.993585399,7,1.3,"CoronaVac"
0.7,51728.7867061503,7,1.3,"CoronaVac"
0.8,49351.8380906076,7,1.3,"CoronaVac"
0.9,46973.3929041006,7,1.3,"CoronaVac"
0.1,77787.8684180429,7,1.4,"CoronaVac"
0.2,74866.7955327112,7,1.4,"CoronaVac"
0.3,71946.3852902495,7,1.4,"CoronaVac"
0.4,69022.9918010723,7,1.4,"CoronaVac"
0.5,66106.7792760593,7,1.4,"CoronaVac"
0.6,63177.8746279691,7,1.4,"CoronaVac"
0.7,60256.7438021662,7,1.4,"CoronaVac"
0.8,57331.8876141859,7,1.4,"CoronaVac"
0.9,54406.2572903743,7,1.4,"CoronaVac"
0.1,26183.1497942878,12,0.9,"CoronaVac"
0.2,25274.7775332025,12,0.9,"CoronaVac"
0.3,24365.782574849,12,0.9,"CoronaVac"
0.4,23456.4554223138,12,0.9,"CoronaVac"
0.5,22546.5384035943,12,0.9,"CoronaVac"
0.6,21636.2910373325,12,0.9,"CoronaVac"
0.7,20724.8610597661,12,0.9,"CoronaVac"
0.8,19815.1325894557,12,0.9,"CoronaVac"
0.9,18901.8479875467,12,0.9,"CoronaVac"
0.1,35436.4341486358,12,1,"CoronaVac"
0.2,34001.2493204844,12,1,"CoronaVac"
0.3,32564.6309916502,12,1,"CoronaVac"
0.4,31127.2945288004,12,1,"CoronaVac"
0.5,29689.023520154,12,1,"CoronaVac"
0.6,28250.1392127122,12,1,"CoronaVac"
0.7,26810.1251562674,12,1,"CoronaVac"
0.8,25368.4410904761,12,1,"CoronaVac"
0.9,23926.9496499533,12,1,"CoronaVac"
0.1,47283.9188808824,12,1.1,"CoronaVac"
0.2,45141.3902827275,12,1.1,"CoronaVac"
0.3,42998.8583819391,12,1.1,"CoronaVac"
0.4,40854.9532694784,12,1.1,"CoronaVac"
0.5,38707.9762489586,12,1.1,"CoronaVac"
0.6,36559.6910921136,12,1.1,"CoronaVac"
0.7,34412.6355454905,12,1.1,"CoronaVac"
0.8,32263.0547083147,12,1.1,"CoronaVac"
0.9,30110.2300973338,12,1.1,"CoronaVac"
0.1,60773.7419805995,12,1.2,"CoronaVac"
0.2,57788.3965025242,12,1.2,"CoronaVac"
0.3,54800.5590569986,12,1.2,"CoronaVac"
0.4,51811.142113839,12,1.2,"CoronaVac"
0.5,48819.9393036749,12,1.2,"CoronaVac"
0.6,45826.9507526897,12,1.2,"CoronaVac"
0.7,42832.5132012166,12,1.2,"CoronaVac"
0.8,39837.6542778508,12,1.2,"CoronaVac"
0.9,36838.2351902434,12,1.2,"CoronaVac"
0.1,74909.7895335813,12,1.3,"CoronaVac"
0.2,71012.6943415557,12,1.3,"CoronaVac"
0.3,67112.0220142035,12,1.3,"CoronaVac"
0.4,63211.9536097894,12,1.3,"CoronaVac"
0.5,59306.7933161513,12,1.3,"CoronaVac"
0.6,55399.3879006643,12,1.3,"CoronaVac"
0.7,51490.4820172722,12,1.3,"CoronaVac"
0.8,47580.3659401701,12,1.3,"CoronaVac"
0.9,43667.4936482805,12,1.3,"CoronaVac"
0.1,88909.6016836738,12,1.4,"CoronaVac"
0.2,84106.5178905071,12,1.4,"CoronaVac"
0.3,79301.1506572255,12,1.4,"CoronaVac"
0.4,74491.545277991,12,1.4,"CoronaVac"
0.5,69683.3966565297,12,1.4,"CoronaVac"
0.6,64866.9131428444,12,1.4,"CoronaVac"
0.7,60052.3279562278,12,1.4,"CoronaVac"
0.8,55234.1330644556,12,1.4,"CoronaVac"
0.9,50413.3027445707,12,1.4,"CoronaVac"
